ticker,date_raw,date,q,exchange,nsi_exec,nsi_qa,divergence,exec_words,qa_words,car_5d,car_trajectory,is_overconfident,is_analyst_skeptical,qa_ratio,interaction_tone,target_outperform
AAPL,"Apr 30, 2020, 5:00 p.m. ET",2020-04-30,2020-Q2,NASDAQ: AAPL,0.1958,0.0,0.1958,4160,4096,0.044,"[0.012, 0.0219, 0.0278, 0.0451, 0.044]",1,0,0.98,0.0,1
META,"Jan 27, 2021, 5:00 p.m. ET",2021-01-27,2020-Q4,NASDAQ: META,0.23,0.1658,0.0642,5435,5009,-0.0408,"[-0.036, -0.0419, -0.0437, -0.0382, -0.0408]",1,0,0.92,0.0106,0
KO,"Apr 19, 2021, 8:30 a.m. ET",2021-04-19,2021-Q1,NYSE: KO,0.173,0.0,0.173,10085,265,-0.0122,"[0.01, 0.0088, 0.0149, 0.0045, -0.0122]",1,0,0.03,0.0,0
AMZN,"Oct 27, 2022, 5:30 p.m. ET",2022-10-27,2022-Q3,NASDAQ: AMZN,0.1167,0.1458,-0.0291,2462,2690,-0.1889,"[-0.0927, -0.0946, -0.1456, -0.1689, -0.1889]",0,0,1.09,-0.0042,0
DIS,"Aug 04, 2020, 4:30 p.m. ET",2020-08-04,2020-Q3,NYSE: DIS,0.123,0.17,-0.047,3677,5917,0.1025,"[0.0816, 0.1003, 0.0928, 0.0813, 0.1025]",0,0,1.61,-0.008,1
DIS,"May 13, 2021, 4:30 p.m. ET",2021-05-13,2021-Q2,NYSE: DIS,0.2579,0.3132,-0.0553,3848,5341,-0.0508,"[-0.0409, -0.0592, -0.0531, -0.0526, -0.0508]",0,0,1.39,-0.0173,0
TSLA,"Apr 26, 2021, 5:30 p.m. ET",2021-04-26,2021-Q1,NASDAQ: TSLA,0.0,0.1885,-0.1885,23,8949,-0.073,"[-0.0451, -0.0589, -0.0908, -0.0356, -0.073]",0,0,389.09,-0.0355,0
UPS,"Feb 01, 2022, 8:30 a.m. ET",2022-02-01,2021-Q4,NYSE: UPS,0.2917,0.21,0.0817,4577,4990,-0.0187,"[-0.0033, 0.0064, -0.0158, -0.0109, -0.0187]",1,0,1.09,0.0172,0
INTC,"Jan 21, 2021, 5:00 p.m. ET",2021-01-21,2020-Q4,NASDAQ: INTC,0.0,0.3224,-0.3224,149,9636,-0.0848,"[-0.0898, -0.115, -0.1177, -0.1213, -0.0848]",0,0,64.67,-0.1039,0
NKE,"Sep 25, 2019, 9:30 p.m. ET",2019-09-25,2020-Q1,NYSE: NKE,0.3437,0.2908,0.0529,5211,4218,0.0408,"[0.0174, 0.0242, 0.0366, 0.0314, 0.0408]",1,0,0.81,0.0154,1
